feature,importance
billed_amount_usd,0.14728669095908653
total_wait_min,0.14531672211313115
patient_age,0.12841842501462272
length_of_stay_hrs,0.11701768526820605
satisfaction_score,0.11651790147021926
triage_level,0.06010427194692983
critical_triage,0.047732571823894086
is_elderly,0.03157349454594062
is_admitted,0.022762198778679927
is_ama,0.017293548707608807
insurance_type_Self-pay,0.01609463649521797
is_self_pay,0.015609053177239388
insurance_type_Medicare,0.013511239633394796
department_Emergency,0.013037443185704036
insurance_type_Private,0.012924525440645384
